Role	Famille	Sous-famille	Compétence	Type	Niveau
Technicien en Cybersécurité	INFRASTRUCTURES	Systèmes	Lister les composants d'un serveur	Savoir-faire	Facile
Technicien en Cybersécurité	INFRASTRUCTURES	Réseaux	Calculer le masque de sous-réseau	Savoir-faire	Facile
Technicien en Cybersécurité	INFRASTRUCTURES	Systèmes	Respecter les procédures d'installation	Savoir-être	Facile
Technicien en Cybersécurité	INFRASTRUCTURES	Réseaux	Configurer les VLANs sur un switch	Savoir-faire	Moyen
Technicien en Cybersécurité	INFRASTRUCTURES	Systèmes	Administrer le service d'annuaire	Savoir-faire	Moyen
Technicien en Cybersécurité	INFRASTRUCTURES	Systèmes	Collaborer avec l'équipe support	Savoir-être	Moyen
Technicien en Cybersécurité	INFRASTRUCTURES	Réseaux	Diagnostiquer la perte de lien	Savoir-faire	Difficile
Technicien en Cybersécurité	INFRASTRUCTURES	Systèmes	Automatiser les tâches via scripts	Savoir-faire	Difficile
Technicien en Cybersécurité	INFRASTRUCTURES	Réseaux	Concevoir la topologie redondante	Savoir-faire	Expert
Technicien en Cybersécurité	INFRASTRUCTURES	Systèmes	Virtualiser le cluster haute disponibilité	Savoir-faire	Expert
Technicien en Cybersécurité	PROTECTION	Accès	Identifier le mot de passe robuste	Savoir-faire	Facile
Technicien en Cybersécurité	PROTECTION	Données	Classer les données par sensibilité	Savoir-faire	Facile
Technicien en Cybersécurité	PROTECTION	Accès	Respecter le principe de moindre privilège	Savoir-être	Facile
Technicien en Cybersécurité	PROTECTION	Accès	Configurer les droits des utilisateurs	Savoir-faire	Moyen
Technicien en Cybersécurité	PROTECTION	Données	Exécuter le chiffrement de disques	Savoir-faire	Moyen
Technicien en Cybersécurité	PROTECTION	Données	Sensibiliser les usagers aux risques	Savoir-être	Moyen
Technicien en Cybersécurité	PROTECTION	Accès	Déployer la solution de VPN	Savoir-faire	Difficile
Technicien en Cybersécurité	PROTECTION	Données	Analyser les flux chiffrés suspects	Savoir-faire	Difficile
Technicien en Cybersécurité	PROTECTION	Accès	Concevoir la politique de mots de passe	Savoir-faire	Expert
Technicien en Cybersécurité	PROTECTION	Données	Intégrer le module de cryptographie	Savoir-faire	Expert
Technicien en Cybersécurité	SUPERVISION	Vulnérabilités	Repérer la mise à jour manquante	Savoir-faire	Facile
Technicien en Cybersécurité	SUPERVISION	Intrusions	Observer les alertes de l'antivirus	Savoir-faire	Facile
Technicien en Cybersécurité	SUPERVISION	Intrusions	Démontrer la vigilance constante 	Savoir-être	Facile
Technicien en Cybersécurité	SUPERVISION	Vulnérabilités	Exécuter le scan de vulnérabilités	Savoir-faire	Moyen
Technicien en Cybersécurité	SUPERVISION	Intrusions	Surveiller les journaux d'événements	Savoir-faire	Moyen
Technicien en Cybersécurité	SUPERVISION	Vulnérabilités	Classer les failles par criticité	Savoir-faire	Moyen
Technicien en Cybersécurité	SUPERVISION	Intrusions	Distinguer le faux positif réel	Savoir-faire	Difficile
Technicien en Cybersécurité	SUPERVISION	Vulnérabilités	Analyser le rapport de scan complexe	Savoir-faire	Difficile
Technicien en Cybersécurité	SUPERVISION	Intrusions	Contrôler les flux d'alertes	Savoir-être	Expert
Technicien en Cybersécurité	SUPERVISION	Intrusions	Corréler les indices de compromission	Savoir-faire	Expert
Technicien en Cybersécurité	OPÉRATIONS	Sauvegardes	Exécuter la sauvegarde manuelle	Savoir-faire	Facile
Technicien en Cybersécurité	OPÉRATIONS	Incidents	Signaler les anomalies détectées	Savoir-faire	Facile
Technicien en Cybersécurité	OPÉRATIONS	Incidents	Favoriser la réactivité immédiate	Savoir-être	Facile
Technicien en Cybersécurité	OPÉRATIONS	Sauvegardes	Vérifier les journaux de backup	Savoir-faire	Moyen
Technicien en Cybersécurité	OPÉRATIONS	Incidents	Consigner les détails de l'incident	Savoir-faire	Moyen
Technicien en Cybersécurité	OPÉRATIONS	Sauvegardes	Restaurer le fichier perdu	Savoir-faire	Moyen
Technicien en Cybersécurité	OPÉRATIONS	Sauvegardes	Planifier les tâches automatiques	Savoir-faire	Difficile
Technicien en Cybersécurité	OPÉRATIONS	Incidents	Isoler le périmètre compromis	Savoir-faire	Difficile
Technicien en Cybersécurité	OPÉRATIONS	Incidents	Communiquer les cas de crise	Savoir-être	Expert
Technicien en Cybersécurité	OPÉRATIONS	Sauvegardes	Simuler le scénario de reprise	Savoir-faire	Expert
Technicien en Cybersécurité	CONFORMITÉ	Droit	Identifier les données personnelles	Savoir-faire	Facile
Technicien en Cybersécurité	CONFORMITÉ	Éthique	Respecter la confidentialité absolue	Savoir-être	Facile
Technicien en Cybersécurité	CONFORMITÉ	Droit	Appliquer la charte informatique	Savoir-faire	Facile
Technicien en Cybersécurité	CONFORMITÉ	Éthique	Adopter la posture de loyauté	Savoir-être	Moyen
Technicien en Cybersécurité	CONFORMITÉ	Droit	Documenter la violation de données	Savoir-faire	Moyen
Technicien en Cybersécurité	CONFORMITÉ	Éthique	Détecter les biais discriminatoires	Savoir-faire	Moyen
Technicien en Cybersécurité	CONFORMITÉ	Droit	Vérifier la validité des licences	Savoir-faire	Difficile
Technicien en Cybersécurité	CONFORMITÉ	Éthique	Valoriser les solutions Green IT	Savoir-faire	Difficile
Technicien en Cybersécurité	CONFORMITÉ	Droit	Justifier la conformité au RGPD	Savoir-faire	Expert
Technicien en Cybersécurité	CONFORMITÉ	Éthique	Prouver l'intégrité morale	Savoir-être	Expert
